,MLII,V1
0 days 00:05:00,-163,-154
0 days 00:05:00.002778,-168,-162
0 days 00:05:00.005556,-170,-164
0 days 00:05:00.008334,-175,-152
0 days 00:05:00.011112,-160,-139
0 days 00:05:00.013890,-145,-125
0 days 00:05:00.016668,-135,-118
0 days 00:05:00.019446,-130,-118
0 days 00:05:00.022224,-134,-121
0 days 00:05:00.025002,-148,-121
0 days 00:05:00.027780,-163,-126
0 days 00:05:00.030558,-180,-129
0 days 00:05:00.033336,-186,-136
0 days 00:05:00.036114,-182,-142
0 days 00:05:00.038892,-176,-149
0 days 00:05:00.041670,-168,-155
0 days 00:05:00.044448,-171,-161
0 days 00:05:00.047226,-174,-163
0 days 00:05:00.050004,-180,-155
0 days 00:05:00.052782,-190,-153
0 days 00:05:00.055560,-202,-150
0 days 00:05:00.058338,-210,-150
0 days 00:05:00.061116,-215,-153
0 days 00:05:00.063894,-217,-157
0 days 00:05:00.066672,-219,-160
0 days 00:05:00.069450,-214,-159
0 days 00:05:00.072228,-209,-155
0 days 00:05:00.075006,-200,-153
0 days 00:05:00.077784,-190,-149
0 days 00:05:00.080562,-186,-150
0 days 00:05:00.083340,-186,-153
0 days 00:05:00.086118,-191,-153
0 days 00:05:00.088896,-196,-153
0 days 00:05:00.091674,-202,-151
0 days 00:05:00.094452,-204,-149
0 days 00:05:00.097230,-199,-147
0 days 00:05:00.100008,-202,-145
0 days 00:05:00.102786,-200,-144
0 days 00:05:00.105564,-201,-142
0 days 00:05:00.108342,-202,-140
0 days 00:05:00.111120,-197,-141
0 days 00:05:00.113898,-193,-137
0 days 00:05:00.116676,-191,-138
0 days 00:05:00.119454,-182,-143
0 days 00:05:00.122232,-176,-149
0 days 00:05:00.125010,-173,-155
0 days 00:05:00.127788,-179,-153
0 days 00:05:00.130566,-194,-153
0 days 00:05:00.133344,-210,-142
0 days 00:05:00.136122,-212,-137
0 days 00:05:00.138900,-199,-137
0 days 00:05:00.141678,-182,-146
0 days 00:05:00.144456,-170,-160
0 days 00:05:00.147234,-170,-172
0 days 00:05:00.150012,-181,-180
0 days 00:05:00.152790,-190,-191
0 days 00:05:00.155568,-202,-200
0 days 00:05:00.158346,-199,-214
0 days 00:05:00.161124,-182,-234
0 days 00:05:00.163902,-157,-267
0 days 00:05:00.166680,-129,-300
0 days 00:05:00.169458,-98,-335
0 days 00:05:00.172236,-82,-361
0 days 00:05:00.175014,-74,-363
0 days 00:05:00.177792,-74,-350
0 days 00:05:00.180570,-74,-316
0 days 00:05:00.183348,-65,-274
0 days 00:05:00.186126,-37,-225
0 days 00:05:00.188904,7,-184
0 days 00:05:00.191682,56,-134
0 days 00:05:00.194460,85,-82
0 days 00:05:00.197238,82,-23
0 days 00:05:00.200016,42,41
0 days 00:05:00.202794,-34,88
0 days 00:05:00.205572,-127,117
0 days 00:05:00.208350,-211,118
0 days 00:05:00.211128,-267,84
0 days 00:05:00.213906,-303,36
0 days 00:05:00.216684,-324,-9
0 days 00:05:00.219462,-340,-46
0 days 00:05:00.222240,-364,-73
0 days 00:05:00.225018,-390,-79
0 days 00:05:00.227796,-406,-92
0 days 00:05:00.230574,-422,-104
0 days 00:05:00.233352,-429,-113
0 days 00:05:00.236130,-430,-126
0 days 00:05:00.238908,-427,-135
0 days 00:05:00.241686,-420,-136
0 days 00:05:00.244464,-419,-135
0 days 00:05:00.247242,-419,-130
0 days 00:05:00.250020,-416,-125
0 days 00:05:00.252798,-412,-129
0 days 00:05:00.255576,-402,-139
0 days 00:05:00.258354,-387,-147
0 days 00:05:00.261132,-375,-154
0 days 00:05:00.263910,-369,-161
0 days 00:05:00.266688,-361,-164
0 days 00:05:00.269466,-341,-160
0 days 00:05:00.272244,-317,-149
0 days 00:05:00.275022,-289,-132
0 days 00:05:00.277800,-261,-124
0 days 00:05:00.280578,-241,-120
0 days 00:05:00.283356,-229,-121
0 days 00:05:00.286134,-223,-124
0 days 00:05:00.288912,-221,-125
0 days 00:05:00.291690,-223,-121
0 days 00:05:00.294468,-228,-124
0 days 00:05:00.297246,-234,-121
0 days 00:05:00.300024,-232,-120
0 days 00:05:00.302802,-221,-114
0 days 00:05:00.305580,-206,-110
0 days 00:05:00.308358,-194,-110
0 days 00:05:00.311136,-194,-111
0 days 00:05:00.313914,-199,-113
0 days 00:05:00.316692,-208,-109
0 days 00:05:00.319470,-216,-112
0 days 00:05:00.322248,-220,-115
0 days 00:05:00.325026,-218,-121
0 days 00:05:00.327804,-214,-125
0 days 00:05:00.330582,-210,-132
0 days 00:05:00.333360,-205,-135
0 days 00:05:00.336138,-201,-135
0 days 00:05:00.338916,-198,-136
0 days 00:05:00.341694,-202,-133
0 days 00:05:00.344472,-204,-131
0 days 00:05:00.347250,-212,-131
0 days 00:05:00.350028,-213,-131
0 days 00:05:00.352806,-214,-131
0 days 00:05:00.355584,-213,-136
0 days 00:05:00.358362,-209,-141
0 days 00:05:00.361140,-210,-147
0 days 00:05:00.363918,-215,-153
0 days 00:05:00.366696,-221,-155
0 days 00:05:00.369474,-226,-155
0 days 00:05:00.372252,-230,-155
0 days 00:05:00.375030,-234,-152
0 days 00:05:00.377808,-237,-156
0 days 00:05:00.380586,-241,-160
0 days 00:05:00.383364,-237,-158
0 days 00:05:00.386142,-234,-164
0 days 00:05:00.388920,-231,-169
0 days 00:05:00.391698,-231,-174
0 days 00:05:00.394476,-232,-180
0 days 00:05:00.397254,-232,-180
0 days 00:05:00.400032,-234,-180
0 days 00:05:00.402810,-238,-177
0 days 00:05:00.405588,-249,-177
0 days 00:05:00.408366,-259,-179
0 days 00:05:00.411144,-262,-177
0 days 00:05:00.413922,-258,-181
0 days 00:05:00.416700,-248,-182
0 days 00:05:00.419478,-237,-187
0 days 00:05:00.422256,-232,-196
0 days 00:05:00.425034,-233,-202
0 days 00:05:00.427812,-248,-203
